Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
162;¿Qué es un diagrama de persistencia?;Anàlisi Topològica de Dades;Facil;Teoria;Representación de características topológicas según escala de nacimiento y muerte;Grafo de flujo;Matriz de adyacencia;Árbol de decisión;A
163;¿Qué es la filtración en análisis topológico?;Anàlisi Topològica de Dades;Media;Teoria;Ordenación de datos por valor;Secuencia anidada de complejos según un parámetro;Reducción dimensional;Filtrado de ruido;B
164;¿Cómo se define la homología persistente?;Anàlisi Topològica de Dades;Media;Teoria;PCA;Regresión lineal;Clustering jerárquico;Método para extraer características topológicas a múltiples escalas;D
165;¿Cómo se define un diagrama de persistencia?;Anàlisi Topològica de Dades;Media;Teoria;Árbol de decisión;Matriz de adyacencia;Grafo de flujo;Representación de características topológicas según escala de nacimiento y muerte;D
166;¿Cómo se define la homología persistente?;Anàlisi Topològica de Dades;Media;Teoria;Regresión lineal;Método para extraer características topológicas a múltiples escalas;Clustering jerárquico;PCA;B
167;¿Cómo se define un diagrama de persistencia?;Anàlisi Topològica de Dades;Media;Teoria;Grafo de flujo;Representación de características topológicas según escala de nacimiento y muerte;Matriz de adyacencia;Árbol de decisión;B
168;¿Qué es un diagrama de persistencia? (variante);Anàlisi Topològica de Dades;Media;Teoria;Representación de características topológicas según escala de nacimiento y muerte;Grafo de flujo;Árbol de decisión;Matriz de adyacencia;A
169;¿Qué es un diagrama de persistencia? (variante);Anàlisi Topològica de Dades;Media;Teoria;Grafo de flujo;Árbol de decisión;Representación de características topológicas según escala de nacimiento y muerte;Matriz de adyacencia;C
170;¿Qué es un diagrama de persistencia?;Anàlisi Topològica de Dades;Media;Teoria;Árbol de decisión;Matriz de adyacencia;Representación de características topológicas según escala de nacimiento y muerte;Grafo de flujo;C
171;¿Qué es la filtración en análisis topológico?;Anàlisi Topològica de Dades;Media;Teoria;Reducción dimensional;Secuencia anidada de complejos según un parámetro;Ordenación de datos por valor;Filtrado de ruido;B
172;¿Qué es un diagrama de persistencia? (variante);Anàlisi Topològica de Dades;Media;Teoria;Grafo de flujo;Árbol de decisión;Representación de características topológicas según escala de nacimiento y muerte;Matriz de adyacencia;C
173;¿Qué es un diagrama de persistencia?;Anàlisi Topològica de Dades;Media;Teoria;Matriz de adyacencia;Árbol de decisión;Grafo de flujo;Representación de características topológicas según escala de nacimiento y muerte;D
174;¿Qué es el complejo de Čech?;Anàlisi Topològica de Dades;Media;Teoria;Árbol;Complejo donde k+1 puntos forman k-símplice si bolas se intersectan;Red neuronal;Grafo completo;B
175;¿De qué concepto se trata cuando: qué representa el número de betti β₀ en un complejo simplicial?;Anàlisi Topològica de Dades;Dificil;Teoria;Componentes conexas;Túneles;Cavidades;Dimensión;A
176;¿Qué mide la persistencia de una característica?;Anàlisi Topològica de Dades;Dificil;Teoria;Su dimensión;Número de vértices;Su importancia;Diferencia entre escala de muerte y nacimiento;D
177;¿Cómo se define un diagrama de persistencia?;Anàlisi Topològica de Dades;Dificil;Teoria;Matriz de adyacencia;Grafo de flujo;Árbol de decisión;Representación de características topológicas según escala de nacimiento y muerte;D
178;¿Cómo se define la filtración en análisis topológico?;Anàlisi Topològica de Dades;Dificil;Teoria;Ordenación de datos por valor;Filtrado de ruido;Reducción dimensional;Secuencia anidada de complejos según un parámetro;D
179;¿Qué cantidad representa la persistencia de una característica?;Anàlisi Topològica de Dades;Dificil;Teoria;Su dimensión;Número de vértices;Su importancia;Diferencia entre escala de muerte y nacimiento;D
180;¿Qué cantidad representa la persistencia de una característica?;Anàlisi Topològica de Dades;Dificil;Teoria;Diferencia entre escala de muerte y nacimiento;Número de vértices;Su dimensión;Su importancia;A
181;¿Qué es la dimensión de homología?;Anàlisi Topològica de Dades;Dificil;Teoria;De los datos;Dimensión de los agujeros que se cuentan;Del espacio;Del símplice;B
182;¿Qué es el análisis topológico de datos?;Anàlisi Topològica de Dades;Dificil;Teoria;Estadístico;Geométrico;Algebraico;Usar topología para extraer estructura de datos;D
183;¿Qué es el teorema de estabilidad?;Anàlisi Topològica de Dades;Dificil;Teoria;De completitud;Los diagramas de persistencia son estables ante perturbaciones;De existencia;De unicidad;B
184;¿Qué es un módulo de persistencia?;Anàlisi Topològica de Dades;Dificil;Teoria;Estructura algebraica que codifica la persistencia;Un grupo;Un diagrama;Un barcode;A
185;¿Qué mide la persistencia de una característica?;Anàlisi Topològica de Dades;Dificil;Teoria;Importancia;Diferencia entre escala de muerte y nacimiento;Dimensión;Número de vértices;B
186;¿Qué mide la persistencia de una característica?;Anàlisi Topològica de Dades;Dificil;Teoria;Su importancia;Diferencia entre escala de muerte y nacimiento;Número de vértices;Su dimensión;B
187;¿Cuántas caras en 3-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;4;6;2;B
188;Complejo con 3 componentes conexas. ¿β₀?;Anàlisi Topològica de Dades;Facil;Calculo;1;3;0;2;B
189;¿Cuántos vértices tiene un 3-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;4;5;6;B
190;¿Cuántos vértices tiene un 0-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;0;1;2;C
191;¿Cuántos vértices tiene 0-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;0;1;3;2;B
192;¿Cuántas aristas en 1-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;1;0;3;2;A
193;¿Cuántos vértices en 2-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;4;2;1;A
194;¿Cuántas caras en 3-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;2;6;4;3;C
195;¿Cuántos vértices tiene 0-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;0;2;3;1;D
196;¿Cuántos vértices tiene 0-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;0;2;1;D
197;¿Cuántas caras en 3-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;6;3;2;4;D
198;¿Cuál es el producto (2,3)·(-1,2)?;Anàlisi Topològica de Dades;Facil;Calculo;5;-4;-5;4;D
199;¿Cuántos vértices tiene 0-símplice?;Anàlisi Topològica de Dades;Facil;Calculo;3;0;1;2;C
200;Grafo 5 nodos, 4 aristas, sin ciclos. ¿Componentes?;Anàlisi Topològica de Dades;Media;Calculo;1;5;2;4;C
201;¿Cuántos vértices tiene 0-símplice? (variante);Anàlisi Topològica de Dades;Media;Calculo;2;3;1;0;C
202;¿Qué número de vértices tiene un 3-símplice?;Anàlisi Topològica de Dades;Media;Calculo;3;5;6;4;D
203;¿Qué número de vértices tiene un 0-símplice?;Anàlisi Topològica de Dades;Media;Calculo;3;0;2;1;D
204;¿Qué número de vértices tiene un 1-símplice?;Anàlisi Topològica de Dades;Media;Calculo;2;4;3;1;A
205;¿Qué número de vértices tiene un 3-símplice?;Anàlisi Topològica de Dades;Media;Calculo;6;5;3;4;D
206;¿Qué número de vértices tiene un 0-símplice?;Anàlisi Topològica de Dades;Media;Calculo;3;0;2;1;D
207;¿Qué número de vértices tiene un 2-símplice?;Anàlisi Topològica de Dades;Media;Calculo;5;2;3;4;C
208;En un complejo con 3 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Media;Calculo;1;4;3;0;C
209;En un complejo con 4 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Media;Calculo;1;0;5;4;D
210;En un complejo con 5 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Media;Calculo;0;6;5;1;C
211;Complejo con 3 componentes conexas. ¿β₀? (variante);Anàlisi Topològica de Dades;Media;Calculo;0;2;1;3;D
212;En un complejo con 5 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Media;Calculo;1;6;5;0;C
213;En un complejo con 2 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Dificil;Calculo;3;1;0;2;D
214;En un complejo con 1 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Dificil;Calculo;1;2;0;1;A
215;En un complejo con 3 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Dificil;Calculo;3;0;1;4;A
216;En un complejo con 4 componentes conexas, ¿cuál es β₀?;Anàlisi Topològica de Dades;Dificil;Calculo;1;0;4;5;C
217;En un complejo con 1 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;0;2;1;D
218;En un complejo con 2 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;0;3;1;2;D
219;En un complejo con 3 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;0;4;3;D
220;En un complejo con 4 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;0;5;4;1;C
221;En un complejo con 5 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;0;5;6;C
222;En un complejo con 1 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;1;0;2;A
223;En un complejo con 3 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;3;4;0;B
224;En un complejo con 4 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;5;1;4;0;C
225;En un complejo con 5 componentes conexas, ¿cuál es β₀? (concepto);Anàlisi Topològica de Dades;Dificil;Calculo;1;6;0;5;D
226;¿Qué es el data augmentation?;Anàlisi de Dades Complexes;Facil;Teoria;Normalización;Aumentar datos con transformaciones;Dropout;Pooling;B
227;¿Qué es la volatilidad en finanzas?;Anàlisi de Dades Complexes;Facil;Teoria;Rendimiento;Media;Desviación típica de los rendimientos;Correlación;C
228;¿Qué es la correlación de Spearman?;Anàlisi de Dades Complexes;Facil;Teoria;Lineal;Para variables ordinales o no lineales;Parcial;Múltiple;B
229;¿Qué es la matriz de confusión?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de correlación;Matriz de covarianza;Matriz de datos;Tabla TP, TN, FP, FN;D
230;¿Qué es la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de covarianza;Matriz de coeficientes de correlación entre variables;Matriz de confusión;Matriz de adyacencia;B
231;¿Qué es la matriz de confusión?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de covarianza;Matriz de datos;Tabla TP, TN, FP, FN;Matriz de correlación;C
232;¿Cómo se define la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de adyacencia;Matriz de covarianza;Matriz de coeficientes de correlación entre variables;Matriz de confusión;C
233;¿Cómo se define la matriz de confusión?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de correlación;Tabla TP, TN, FP, FN;Matriz de datos;Matriz de covarianza;B
234;¿Cómo se define la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de coeficientes de correlación entre variables;Matriz de covarianza;Matriz de adyacencia;Matriz de confusión;A
235;¿Qué es la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de confusión;Matriz de adyacencia;Matriz de covarianza;Matriz de coeficientes de correlación entre variables;D
236;¿Qué es la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de adyacencia;Matriz de coeficientes de correlación entre variables;Matriz de covarianza;Matriz de confusión;B
237;¿Qué es la matriz de correlación?;Anàlisi de Dades Complexes;Facil;Teoria;Matriz de coeficientes de correlación entre variables;Matriz de confusión;Matriz de adyacencia;Matriz de covarianza;A
238;¿Qué es el análisis de sensibilidad?;Anàlisi de Dades Complexes;Media;Teoria;Estudiar cómo cambian resultados al variar parámetros;De salida;De validación;De verificación;A
239;¿Qué es la consistencia eventual?;Anàlisi de Dades Complexes;Media;Teoria;Los datos convergen tras un tiempo;Inmediata;Fuerte;Siempre;A
240;¿Qué es la resolución de un sensor?;Anàlisi de Dades Complexes;Media;Teoria;El rango;La sensibilidad;La precisión;Menor cambio que puede detectar;D
241;¿Qué es el área bajo la curva AUC?;Anàlisi de Dades Complexes;Media;Teoria;El recall;El F1;La precisión;Métrica que resume la capacidad discriminativa del modelo;D
242;¿Qué es el análisis de sensibilidad?;Anàlisi de Dades Complexes;Media;Teoria;Estudiar cómo cambian resultados al variar parámetros;Clustering;Análisis de varianza;Regresión;A
243;¿Qué es la precisión en clasificación?;Anàlisi de Dades Complexes;Media;Teoria;(TP+TN)/total;TN/(TN+FP);TP/(TP+FP);TP/(TP+FN);C
244;¿Qué es data augmentation?;Anàlisi de Dades Complexes;Media;Teoria;Muestreo;Aumentar datos con transformaciones;Interpolación;Extrapolación;B
245;¿Qué es un servidor sin estado?;Anàlisi de Dades Complexes;Media;Teoria;REST;HTTP;No almacena estado entre peticiones;Stateless;C
246;¿Qué es el análisis de sensibilidad?;Anàlisi de Dades Complexes;Media;Teoria;Clustering;Análisis de varianza;Regresión;Estudiar cómo cambian resultados al variar parámetros;D
247;¿Qué es el análisis de sensibilidad?;Anàlisi de Dades Complexes;Media;Teoria;Estudiar cómo cambian resultados al variar parámetros;Clustering;Regresión;Análisis de varianza;A
248;¿Qué es el análisis de sensibilidad?;Anàlisi de Dades Complexes;Media;Teoria;Clustering;Análisis de varianza;Regresión;Estudiar cómo cambian resultados al variar parámetros;D
249;¿Qué es la precisión en clasificación?;Anàlisi de Dades Complexes;Media;Teoria;(TP+TN)/total;TP/(TP+FN);TN/(TN+FP);TP/(TP+FP);D
250;¿Cómo se define data augmentation?;Anàlisi de Dades Complexes;Dificil;Teoria;Extrapolación;Muestreo;Aumentar datos con transformaciones;Interpolación;C
251;¿Cómo se define la correlación de Spearman?;Anàlisi de Dades Complexes;Dificil;Teoria;Múltiple;Parcial;Lineal;Para variables ordinales o no lineales;D
252;¿Cómo se define el análisis de sensibilidad?;Anàlisi de Dades Complexes;Dificil;Teoria;Clustering;Análisis de varianza;Estudiar cómo cambian resultados al variar parámetros;Regresión;C
253;¿Cómo se define la precisión en clasificación?;Anàlisi de Dades Complexes;Dificil;Teoria;TN/(TN+FP);TP/(TP+FN);(TP+TN)/total;TP/(TP+FP);D
254;¿Cómo se define un servidor sin estado?;Anàlisi de Dades Complexes;Dificil;Teoria;REST;Stateless;HTTP;No almacena estado entre peticiones;D
255;¿Qué es el coeficiente de correlación parcial?;Anàlisi de Dades Complexes;Dificil;Teoria;De Pearson;Simple;Correlación entre X e Y controlando otras variables;De Spearman;C
256;¿Qué es el problema de desbalanceo de clases?;Anàlisi de Dades Complexes;Dificil;Teoria;Multicolinealidad;Clases con frecuencias muy distintas;Overfitting;Underfitting;B
257;¿Qué mide el coeficiente de Silhouette en clustering? (variante);Anàlisi de Dades Complexes;Dificil;Teoria;Entropía;Distorsión;Calidad de asignación a clusters;Inercia;C
258;¿Qué es el análisis de componentes principales (PCA)?;Anàlisi de Dades Complexes;Dificil;Teoria;Regresión;Clustering;Clasificación;Proyección a direcciones de máxima varianza;D
259;¿Qué es el análisis de componentes principales (PCA)?;Anàlisi de Dades Complexes;Dificil;Teoria;Clustering;Regresión;Clasificación;Proyección a direcciones de máxima varianza;D
260;¿Qué es el análisis de sensibilidad? (variante);Anàlisi de Dades Complexes;Dificil;Teoria;Regresión;Análisis de varianza;Clustering;Estudiar cómo cambian resultados al variar parámetros;D
261;¿Qué es el análisis de componentes principales (PCA)?;Anàlisi de Dades Complexes;Dificil;Teoria;Regresión;Clasificación;Proyección a direcciones de máxima varianza;Clustering;C
262;Correlación A-B = -0.5 ¿diversificación?;Anàlisi de Dades Complexes;Facil;Calculo;Nula;Neutra;Beneficiosa;Perjudicial;C
263;¿Cuál es la precisión si VP=7 y FP=3?;Anàlisi de Dades Complexes;Facil;Calculo;0.7;1;0.5;0.9;A
264;¿Cuál es la precisión si VP=10 y FP=0?;Anàlisi de Dades Complexes;Facil;Calculo;0.5;1;10;0;B
265;Log2(8)?;Anàlisi de Dades Complexes;Facil;Calculo;4;8;2;3;D
266;Log2(8)? (concepto);Anàlisi de Dades Complexes;Facil;Calculo;3;2;8;4;A
267;Ecuacion 2x+3=11, x?;Anàlisi de Dades Complexes;Facil;Calculo;5;6;3;4;D
268;Correlación de Pearson entre X y -X?;Anàlisi de Dades Complexes;Facil;Calculo;0;-1;1;No definida;B
269;Media de [1,2,3,4,5]?;Anàlisi de Dades Complexes;Facil;Calculo;2.5;4;15;3;D
270;¿Cuántos clusters en K-means con K=3?;Anàlisi de Dades Complexes;Facil;Calculo;2;1;n;3;D
271;Distancia euclídea (0,0) a (3,4)?;Anàlisi de Dades Complexes;Facil;Calculo;1;7;5;12;C
272;Normalización min-max: valor 5 en [0,10]?;Anàlisi de Dades Complexes;Facil;Calculo;1;0.5;5;0;B
273;Media de [1,2,3,4,5]? (variante);Anàlisi de Dades Complexes;Facil;Calculo;2.5;3;15;4;B
274;Correlación de Pearson entre X y -X?;Anàlisi de Dades Complexes;Facil;Calculo;-1;1;0;No definida;A
275;R² en regresión con 0 varianza explicada?;Anàlisi de Dades Complexes;Media;Calculo;0.5;-1;0;1;C
276;Si ACF(1)=0.8 ACF(2)=0.6 ¿hay autocorrelación?;Anàlisi de Dades Complexes;Media;Calculo;Sí fuerte;Nula;Débil;No;A
277;¿Cuántos componentes en PCA para 10 variables?;Anàlisi de Dades Complexes;Media;Calculo;5;1;≤10;10;C
278;Correlación de Pearson entre X y -X? (variante);Anàlisi de Dades Complexes;Media;Calculo;1;-1;No definida;0;B
279;Distancia euclídea (0,0) a (3,4)? (variante);Anàlisi de Dades Complexes;Media;Calculo;7;12;1;5;D
280;Flujo F1/F2=4 ¿diferencia magnitudes?;Anàlisi de Dades Complexes;Media;Calculo;1.51;1.5;2;4;B
281;"¿Cuál es el recall si VP=9; FN=1?";Anàlisi de Dades Complexes;Media;Calculo;0.8;1;0.9;0.5;C
282;¿Cuál es la precisión si VP=6 y FP=2?;Anàlisi de Dades Complexes;Media;Calculo;0.75;0.9;0.6;1;A
283;Precisión 0.8 recall 0.5 ¿F1?;Anàlisi de Dades Complexes;Media;Calculo;0.62;1.3;0.61;0.65;A
284;¿Cuál es el F1 si precisión=0.5 y recall=0.5?;Anàlisi de Dades Complexes;Media;Calculo;1;0.25;0;0.5;D
285;¿Qué es la precisión?;Anàlisi de Dades Complexes;Media;Calculo;Accuracy;TP/(TP+FP);Recall;F1;C
286;¿Qué es un outlier?;Anàlisi de Dades Complexes;Media;Calculo;La mediana;La media;Valor atípico extremo;El modo;C
287;Raiz cuadrada de 144?;Anàlisi de Dades Complexes;Media;Calculo;12;14;10;11;A
288;¿Cuántos clusters en K-means con K=3? (variante);Anàlisi de Dades Complexes;Dificil;Calculo;3;1;n;2;A
289;¿Cuántos componentes en PCA para 10 variables? (variante);Anàlisi de Dades Complexes;Dificil;Calculo;1;≤10;5;10;B
290;R² en regresión con 0 varianza explicada? (variante);Anàlisi de Dades Complexes;Dificil;Calculo;1;0;0.5;-1;B
291;Si 80 de 100 enfermos dan positivo y 5 de 100 sanos también ¿cuál es la sensibilidad?;Anàlisi de Dades Complexes;Dificil;Calculo;0.05;0.95;0.8;0.2;C
292;Dos activos vol 10% y 20% correlación 0 ¿vol cartera 50-50?;Anàlisi de Dades Complexes;Dificil;Calculo;15%;5%;11.2%;10%;C
